pair,period,strategy,total_trades,total_profit,winning_trades,win_rate,profit_after_fees
XRPBTC,1d,TrendFollowingStrategy,2,-345.74,0,0.0,-345.05
ADAUSDT,1d,BollingerBandStrategy,5,-351.38,0,0.0,-350.68
SOLUSDT,15m,MomentumStrategy,112,-362.5,20,17.86,-361.78
ADAUSDT,1d,MomentumStrategy,4,-364.17,0,0.0,-363.44
LINKUSDT,30m,MovingAverageCrossover,78,-366.59,14,17.95,-365.86
BNBUSDT,15m,MovingAverageCrossover,78,-371.38,15,19.23,-370.64
SOLUSDT,4h,TrendFollowingStrategy,17,-374.54,4,23.53,-373.79
SOLBTC,4h,TrendFollowingStrategy,12,-377.6,1,8.33,-376.85
XRPBTC,1d,MovingAverageCrossover,3,-379.22,0,0.0,-378.46
ETHBTC,2h,TrendFollowingStrategy,23,-394.33,1,4.35,-393.54
LINKUSDT,1h,BollingerBandStrategy,72,-401.23,9,12.5,-400.42
ETHUSDT,2h,MovingAverageCrossover,27,-402.28,3,11.11,-401.48
DOTUSDT,4h,EnhancedRSIStrategy,138,-402.82,42,30.43,-402.01
BNBUSDT,2h,TrendFollowingStrategy,34,-403.09,5,14.71,-402.28
ETHBTC,4h,MomentumStrategy,14,-419.78,2,14.29,-418.94
ETHBTC,1h,EnhancedRSIStrategy,537,-420.68,146,27.19,-419.84
LINKUSDT,1h,MovingAverageCrossover,68,-427.39,11,16.18,-426.54
ADAUSDT,4h,EnhancedRSIStrategy,130,-441.4,35,26.92,-440.52
BTCUSDT,2h,TrendFollowingStrategy,26,-454.67,6,23.08,-453.76
DOGEBTC,4h,EnhancedRSIStrategy,132,-456.89,33,25.0,-455.97
ETHBTC,15m,TrendFollowingStrategy,51,-465.99,5,9.8,-465.06
SOLUSDT,4h,MomentumStrategy,22,-498.04,4,18.18,-497.05
DOTUSDT,2h,EnhancedRSIStrategy,240,-499.19,66,27.5,-498.19
DOTBTC,1h,EnhancedRSIStrategy,500,-506.6,143,28.6,-505.58
LINKBTC,2h,BollingerBandStrategy,30,-509.81,3,10.0,-508.79
SOLUSDT,4h,EnhancedRSIStrategy,128,-530.26,38,29.69,-529.2
LINKBTC,2h,MovingAverageCrossover,34,-533.46,4,11.76,-532.39
LINKUSDT,4h,TrendFollowingStrategy,19,-559.36,1,5.26,-558.24
BNBUSDT,4h,BollingerBandStrategy,24,-564.53,1,4.17,-563.4
LINKBTC,15m,EnhancedRSIStrategy,769,-566.88,243,31.6,-565.75
LINKBTC,1h,TrendFollowingStrategy,69,-570.21,6,8.7,-569.07
SOLUSDT,4h,BollingerBandStrategy,17,-588.83,2,11.76,-587.65
DOTBTC,2h,MovingAverageCrossover,23,-607.93,1,4.35,-606.72
LINKBTC,4h,MovingAverageCrossover,20,-636.94,1,5.0,-635.66
ETHUSDT,4h,MovingAverageCrossover,17,-665.73,0,0.0,-664.4
DOTBTC,2h,EnhancedRSIStrategy,234,-679.88,60,25.64,-678.52
UNIUSDT,15m,EnhancedRSIStrategy,777,-682.93,246,31.66,-681.56
DOTBTC,15m,EnhancedRSIStrategy,798,-742.83,240,30.08,-741.34
ETHBTC,15m,EnhancedRSIStrategy,749,-851.16,227,30.31,-849.46
DOTBTC,4h,EnhancedRSIStrategy,110,-913.88,26,23.64,-912.06
